Epoch Time,Lux Level
1634854002,260
1634854002,265
1634854002,260
1634854002,265
1634854002,260
1634854002,265
1634854003,260
1634854003,265
1634854003,260
1634854003,265
1634854003,260
1634854003,265
1634854004,255
1634854004,260
1634854004,265
1634854004,260
1634854004,265
1634854004,260
1634854004,260
1634854006,265
1634854006,260
1634854006,260
1634854007,265
1634854008,260
1634854008,265
1634854008,260
1634854009,265
1634854009,260
1634854009,265
1634854010,260
1634854010,260
1634854010,260
1634854012,255
1634854013,260
1634854013,260
1634854014,265
1634854014,260
1634854014,265
1634854016,260
1634854016,265
1634854016,260
1634854016,265
1634854016,260
1634854017,265
1634854017,260
1634854017,260
1634854019,265
1634854019,260
1634854019,265
1634854020,260
1634854020,265
1634854021,255
1634854021,260
1634854021,265
1634854021,260
1634854021,265
1634854022,260
1634854022,265
1634854022,260
1634854022,255
1634854023,260
1634854023,265
1634854023,260
1634854023,265
1634854024,260
1634854024,265
1634854024,260
1634854024,265
1634854025,260
1634854025,260
1634854026,255
1634854026,260
1634854026,255
1634854027,260
1634854027,265
1634854027,260
1634854027,265
1634854027,260
1634854027,265
1634854028,260
1634854028,260
1634854029,265
1634854029,260
1634854030,265
1634854030,260
1634854030,260
1634854031,265
1634854032,260
1634854032,255
1634854033,260
1634854033,255
1634854033,260
1634854034,265
1634854034,260
1634854034,255
1634854035,260
1634854035,265
1634854035,260
1634854035,255
1634854036,260
1634854036,265
1634854036,260
1634854036,260
1634854037,265
1634854038,260
1634854038,255
1634854039,260
1634854039,255
1634854039,260
1634854039,260
1634854041,265
1634854041,260
1634854041,260
1634854042,255
1634854042,260
1634854042,260
1634854042,260
1634854045,255
1634854045,260
1634854045,255
1634854046,265
1634854046,260
1634854046,265
1634854047,260
1634854047,260
1634854048,255
1634854049,260
1634854049,255
1634854049,260
1634854049,260
1634854049,260
1634854052,255
1634854052,260
1634854052,265
1634854052,260
1634854052,255
1634854052,260
1634854052,265
1634854053,260
1634854053,265
1634854054,260
1634854054,260
1634854055,255
1634854056,260
1634854056,260
1634854057,255
