Epoch Time,Lux Level
1634924319.79925,1215
1634924319.93372,1214
1634924320.05185,1215
1634924320.16052,1216
1634924320.16052,1216
1634924320.39806,1215
1634924320.51253,1214
1634924320.6148,1215
1634924320.71908,1216
1634924320.71908,1216
1634924320.71908,1216
1634924320.71908,1216
1634924321.88193,1216
1634924321.98175,1215
1634924322.3815,1216
1634924322.48186,1215
1634924322.58155,1214
1634924322.68092,1215
1634924322.78158,1216
1634924323.09896,1215
1634924323.80797,1216
1634924323.91886,1487
1634924324.22318,1492
1634924324.22318,1492
1634924325.39731,1487
1634924326.21173,1492
1634924326.30629,1487
1634924326.94253,1492
1634924327.04966,1487
1634924327.25169,1492
1634924327.25169,1492
1634924328.48484,1496
1634924328.58162,1215
1634924328.58162,1215
1634924329.8234,1216
1634924330.80203,1219
1634924330.89842,1224
1634924330.99864,1229
1634924331.0986,1231
1634924331.19874,1234
1634924331.30281,1236
1634924331.39884,1238
1634924331.50047,1240
1634924331.7325,1238
1634924332.55287,1236
1634924333.13541,1234
1634924333.23034,1236
1634924333.34118,1237
