Epoch Time,Lux Level
1634853910.26412,835
1634853910.31604,853
1634853910.8814,835
1634853911.19497,853
1634853911.68344,835
1634853911.79245,853
1634853912.00628,835
1634853912.11536,853
1634853912.23282,835
1634853912.51472,853
1634853912.91229,835
1634853913.21049,853
1634853913.31193,835
1634853913.41085,853
1634853913.51359,870
1634853913.6179,835
1634853913.71866,853
1634853913.82589,835
1634853914.03704,853
1634853914.24904,835
1634853914.36394,870
1634853914.52249,853
1634853914.61814,835
1634853914.73445,853
1634853914.83654,835
1634853914.94179,853
1634853915.03757,818
1634853915.13987,853
1634853915.2437,835
1634853915.56547,818
1634853915.66899,835
1634853915.77487,853
1634853915.88379,835
1634853916.4669,888
1634853916.57657,835
1634853916.68166,853
1634853916.78609,835
1634853916.89047,853
1634853917.18223,835
1634853917.28734,853
1634853917.80965,888
1634853917.94166,835
1634853918.05644,853
1634853918.42623,835
1634853918.56549,853
1634853918.69686,835
1634853919.0163,853
1634853919.42471,835
1634853919.52236,853
1634853919.73421,870
1634853919.8384,853
1634853919.94268,835
1634853920.04464,853
1634853920.24438,835
1634853920.35012,853
1634853920.45108,835
1634853920.65589,853
1634853920.75578,835
1634853920.96307,853
1634853921.08044,835
1634853921.2607,853
1634853921.57254,835
1634853921.97275,853
1634853922.47679,835
1634853922.98525,853
1634853923.51144,835
1634853923.61565,853
1634853923.71918,835
1634853924.00778,853
1634853924.21123,835
1634853924.62173,853
1634853924.73475,835
1634853924.84214,818
1634853924.94713,835
1634853925.05552,853
1634853925.21302,835
1634853925.33273,853
1634853925.44118,835
1634853925.64685,888
1634853925.76383,835
1634853925.87961,853
1634853926.06502,835
1634853926.17383,853
1634853926.28203,835
1634853926.38976,853
1634853926.76773,835
1634853927.07893,853
1634853927.26658,835
1634853927.37282,853
1634853927.58471,835
1634853927.68899,853
1634853927.79886,835
1634853927.99998,818
1634853928.10425,835
1634853928.20781,853
1634853928.79804,835
1634853929.20764,853
1634853929.41145,835
1634853929.52217,853
1634853929.63143,835
1634853929.73878,853
1634853929.84905,835
1634853929.9588,853
1634853930.24581,835
1634853930.35545,853
1634853930.54467,835
1634853931.05065,853
1634853931.63889,835
1634853932.25229,853
1634853932.474,835
1634853932.57396,853
1634853932.76384,835
1634853933.06892,853
1634853933.17026,835
1634853933.26751,853
1634853933.36577,835
1634853933.67997,853
1634853933.88232,835
1634853933.98189,853
1634853934.48799,835
1634853934.58955,853
1634853934.68991,835
1634853934.90007,853
1634853935.0011,835
1634853935.10119,853
1634853935.41546,835
1634853935.51754,853
1634853935.7322,835
1634853935.85194,853
1634853935.94957,835
1634853936.04521,853
1634853936.33785,835
1634853936.43439,888
1634853936.53886,835
1634853936.63784,853
1634853937.054,835
1634853937.23616,853
1634853938.05852,835
1634853938.16009,853
1634853938.47485,835
1634853938.7728,853
1634853939.19742,835
1634853939.299,853
1634853939.40141,835
1634853939.59367,853
1634853940.00137,818
1634853941.1155,853
1634853941.21568,835
1634853941.32004,818
1634853941.4208,835
1634853941.52737,853
1634853941.62906,835
1634853941.7296,853
1634853942.04227,835
1634853942.14865,870
1634853942.36042,853
1634853942.47146,835
1634853942.57799,853
1634853942.83726,870
1634853943.03064,853
1634853943.13751,835
1634853943.56273,853
1634853943.68413,835
1634853944.07591,853
1634853944.1831,835
1634853944.47899,818
1634853944.77997,800
1634853944.88998,818
1634853945.00027,800
1634853945.39488,818
1634853945.60412,800
1634853945.71237,818
1634853945.8224,800
1634853945.93084,818
1634853946.12014,800
1634853946.22716,818
1634853947.01671,800
1634853947.12655,818
1634853947.23387,835
1634853947.3543,818
1634853947.46068,835
1634853947.56894,853
1634853947.85065,835
1634853948.13981,853
1634853948.35698,835
1634853948.46408,853
1634853948.75174,835
1634853949.16064,853
1634853949.37002,835
1634853949.4791,853
1634853949.59001,835
1634853949.98671,853
1634853951.09983,835
1634853951.2124,853
1634853951.32751,835
1634853951.42864,853
1634853951.69683,818
1634853951.79698,853
1634853951.89388,835
1634853952.31708,853
1634853952.5171,835
1634853952.92802,853
1634853953.12435,835
1634853953.22392,853
1634853953.32655,835
1634853953.42365,853
1634853953.62869,835
1634853953.83806,853
1634853954.1393,835
1634853954.24583,870
1634853954.34719,853
1634853954.44534,835
1634853954.86301,853
1634853955.3725,835
1634853955.47463,853
1634853955.5786,835
1634853955.67988,853
1634853955.96648,835
1634853956.06328,853
1634853956.37255,870
1634853956.46881,835
1634853956.56934,853
1634853956.79034,835
1634853956.89073,853
1634853957.09855,835
1634853957.59434,853
1634853957.69429,818
1634853957.79636,853
1634853957.90288,835
1634853958.0109,853
1634853958.1124,835
1634853958.63993,853
1634853958.83704,835
1634853958.93822,870
1634853959.03981,835
1634853959.14507,853
1634853959.24419,835
1634853959.34863,853
1634853959.75685,818
1634853959.94557,853
1634853960.04891,870
1634853960.16017,835
1634853960.2674,853
1634853960.95709,835
1634853961.5011,853
1634853961.61047,835
1634853961.71819,853
1634853961.8262,835
1634853961.94569,853
1634853962.05368,835
1634853962.16077,853
1634853962.27838,835
1634853962.38751,818
1634853962.49556,835
1634853962.60358,853
1634853962.81164,835
1634853962.91425,853
1634853963.28929,835
1634853963.51713,853
1634853963.61806,835
1634853963.71956,870
1634853963.92714,835
1634853964.035,853
1634853964.14045,835
1634853964.64832,853
1634853965.24284,835
1634853965.34668,818
1634853965.44696,835
1634853965.54989,853
